"bp_id","num_bp","naim_bp","owner","cod_bp_txt","vyd","from_id","d_start","d_stop","bp_id_aris","datestamp"
1,"1.","1. Управляющие бизнес-процессы.",127,"УПБП_1.",1,0,"2017-01-02","2017-04-20",1678100,1577826000000
2,"1.1.","1.1. Стратегическое планирование и определение целей",1,"УПБП_1.1.",0,1678100,"2017-01-02","2017-04-20",1676304,1577826000000
3,"1.2.","1.2. Финансово-экономическое управление",15,"УПБП_1.2.",0,1678100,"2017-01-02","2016-03-30",1676634,1577826000000
4,"1.3.","1.3. Планирование, анализ функционирования и развитие СМК",1,"УПБП_1.3.",0,1678100,"2017-01-02","2017-04-20",1676637,1577826000000
5,"1.4.","1.4. Управление банковскими рисками",127,"УПБП_1.4.",1,1678100,"2017-01-02","2018-03-23",1676476,1577826000000
9,"1.5.","1.5. Управление персоналом и организационной структурой Банка",127,"УПБП_1.5.",1,1678100,"2017-01-02","2018-03-22",1676603,1577826000000
10,"1.6.","1.6. Управление региональной сетью Банка",4,"УПБП_1.6.",0,1678100,"2017-01-02","2017-04-20",1676452,1577826000000
11,"1.7.","1.7. Управление дочерними предприятиями и контроль их эффективности",25,"УПБП_1.7.",0,1678100,"2017-01-02","2018-03-22",1676509,1577826000000
12,"1.8.","1.8. Управление проблемной задолженностью ",127,"УПБП_1.8.",1,1678100,"2017-01-02","2017-04-20",1676379,1577826000000
321,"2.8.5.","2.8.5. Организация и проведение централизованных процедур закупок",20,"ОББП_2.8.5.",0,1676567,"2017-10-03","2100-01-01",1676388,1577826000000
13,"1.8.1.","1.8.1. Работа с просроченной, сомнительной, безнадежной дебиторской задолженностью",29,"УПБП_1.8.1.",0,1676379,"2017-01-02","2016-03-03",1677427,1577826000000
14,"1.8.2.","1.8.2. Работа с проблемной задолженностью  и обеспечением исполнения обязательств по проблемной задолженности корпоративных клиентов",29,"УПБП_1.8.2.",0,1676379,"2017-01-02","2016-03-03",1677488,1577826000000
15,"1.8.3.","1.8.3. Работа с проблемной задолженностью и обеспечением исполнения обязательств по проблемной задолженности физических лиц",29,"УПБП_1.8.3.",0,1676379,"2017-01-02","2016-03-03",1677449,1577826000000
16,"1.8.4.","1.8.4. Методологическое сопровождение работы с проблемной задолженностью",29,"УПБП_1.8.4.",0,1676379,"2017-01-02","2019-03-16",1677441,1577826000000
17,"1.8.5.","1.8.5. Обслуживание обязательств субъектов хозяйствования по погашению исполненных гарантий Правительства Республики Беларусь и местных органов власти",29,"УПБП_1.8.5.",0,1676379,"2017-01-02","2016-03-03",1677474,1577826000000
19,"2.","2. Обеспечивающие бизнес-процессы.",127,"ОББП_2.",1,0,"2017-01-02","2017-04-20",1677858,1577826000000
20,"2.1.","2.1.  Бухгалтерский учет, бухгалтерская, бухгалтерская (финансовая), статистическая и налоговая отчетность в соответствии с законодательством Республики Беларусь",127,"ОББП_2.1.",1,1677858,"2017-01-02","2018-03-22",1676533,1577826000000
21,"2.2.","2.2. Юридическое обеспечение",20,"ОББП_2.2.",0,1677858,"2017-01-02","2019-03-15",1676409,1577826000000
22,"2.3.","2.3. ИТ-обеспечение и связь",127,"ОББП_2.3.",1,1677858,"2017-01-02","2017-04-20",1676535,1577826000000
23,"2.4.","2.4. Обеспечение безопасности и защиты информации",127,"ОББП_2.4.",1,1677858,"2017-01-02","2018-03-22",1676386,1577826000000
24,"2.5.","2.5. Финансовый мониторинг",43,"ОББП_2.5.",0,1677858,"2017-01-02","2018-03-22",1676420,1577826000000
25,"2.6.","2.6.  Осуществление проверки деятельности Банка, оценка адекватности и эффективности внутреннего контроля и(или) системы внутреннего контроля",33,"ОББП_2.6.",0,1677858,"2017-01-02","2014-09-25",1676548,1577826000000
26,"2.7.","2.7. Взаимодействие с потребителями",127,"ОББП_2.7.",1,1677858,"2017-01-02","2017-04-20",1676594,1577826000000
27,"2.7.1.","2.7.1. Рекламное сопровождение деятельности Банка",36,"ОББП_2.7.1.",0,1676594,"2017-01-02","2015-04-02",1676591,1577826000000
28,"2.7.2.","2.7.2. Информационно-справочное обслуживание",24,"ОББП_2.7.2.",0,1676594,"2017-01-02","2014-09-25",1676619,1577826000000
29,"2.7.3.","2.7.3. Телемаркетинг",24,"ОББП_2.7.3.",0,1676594,"2017-01-02","2014-09-25",1676261,1577826000000
